A4,210,297
US Letter,215.9,279.4
US Legal,215.9,355.6
US Executive,182.88,266.7
A0,841,1189
A1,594,841
A2,420,594
A3,297,420
A5,148,210
A6,105,148
A7,74,105
A8,52,74
A9,37,52
A10,26,37
B0,1000,1414
B1,707,1000
B2,500,707
B3,353,500
B4,250,353
B5,176,250
B6,125,176
B7,88,125
B8,62,88
B9,44,62
B10,31,44
C0,917,1297
C1,648,917
C2,458,648
C3,324,458
C4,229,324
C5,168,229
C6,114,162
C7,81,114
C8,57,81
C9,40,57
C10,28,40
D1,545,771
D2,385,545
D3,272,385
D4,192,272
D5,136,192
D6,96,136
D7,68,96
E3,400,560
E4,280,400
E5,200,280
E6,140,200
CSE,462,649
US #10 Envelope,104.14,241.3
DL Envelope,110,220
Ledger/Tabloid,279.4,431.8
C6/5,215.646,227.076
